id,state,regional_unemployment_rate,regional_median_income,regional_median_rent,housing_price_index,cost_of_living_index,previous_zip_code
101847,CA,5.7,75000,1660.0,154.0,124.0,985
101848,PA,4.8,61000,1440.0,98.0,80.0,532
101849,NJ,5.2,82000,2150.0,137.0,113.0,434
101850,MO,4.1,55000,1130.0,96.0,78.0,255
101851,CA,5.9,75000,2090.0,169.0,137.0,133
101852,CA,5.5,75000,1660.0,164.0,130.0,880
101853,IN,4.6,55000,1160.0,85.0,80.0,409
101854,CA,5.5,75000,2060.0,166.0,131.0,956
101855,FL,5.3,55000,1340.0,118.0,86.0,372
101856,NJ,5.1,82000,1990.0,139.0,112.0,114
101857,MA,4.0,81000,2520.0,145.0,125.0,881
101858,IL,4.9,65000,1450.0,96.0,89.0,825
101859,TN,4.2,53000,1280.0,107.0,85.0,786
101860,WI,3.7,60000,1340.0,98.0,85.0,778
101861,NC,4.0,54000,1380.0,108.0,77.0,437
101862,NJ,5.0,82000,2130.0,124.0,100.0,354
101863,OH,4.3,56000,1460.0,85.0,78.0,196
101864,NJ,4.6,82000,2230.0,133.0,119.0,562
101865,GA,4.2,58000,1390.0,102.0,86.0,204
101866,TX,3.9,61000,1590.0,107.0,74.0,230
101867,CA,5.2,75000,1670.0,167.0,122.0,960
101868,CA,5.6,75000,1710.0,152.0,118.0,485
101869,GA,4.3,58000,1410.0,100.0,92.0,671
101870,TX,4.6,61000,1450.0,100.0,85.0,968
101871,PA,4.7,61000,1360.0,96.0,85.0,666
101872,VA,3.5,74000,1660.0,125.0,110.0,116
101873,FL,4.7,55000,1200.0,117.0,90.0,552
101874,AZ,4.0,58000,1240.0,116.0,95.0,801
101875,TX,3.8,61000,1430.0,94.0,76.0,368
101876,AZ,4.3,58000,1390.0,111.0,92.0,332
101877,IL,5.1,65000,1660.0,95.0,81.0,917
101878,MO,4.1,55000,1180.0,97.0,79.0,779
101879,MI,5.2,57000,1260.0,98.0,87.0,714
101880,NC,4.7,54000,1280.0,117.0,94.0,619
101881,TN,3.8,53000,1110.0,105.0,95.0,794
101882,MA,4.4,81000,1840.0,140.0,122.0,135
101883,TX,4.3,61000,1360.0,108.0,81.0,875
101884,MO,4.2,55000,1320.0,94.0,81.0,627
101885,IL,5.2,65000,1410.0,94.0,90.0,964
101886,IL,5.4,65000,1710.0,111.0,92.0,368
101887,IN,4.4,55000,1370.0,95.0,81.0,183
101888,WI,3.4,60000,1500.0,102.0,88.0,162
101889,WI,4.4,60000,1460.0,97.0,84.0,648
101890,NC,4.2,54000,1230.0,114.0,98.0,178
101891,TX,4.0,61000,1360.0,108.0,82.0,932
101892,AZ,4.4,58000,1330.0,115.0,86.0,832
101893,MI,5.3,57000,1570.0,98.0,77.0,274
101894,CA,6.1,75000,1660.0,163.0,137.0,389
101895,NJ,5.6,82000,2290.0,134.0,112.0,241
101896,WI,4.4,60000,1630.0,99.0,85.0,309
101897,OH,4.4,56000,1260.0,89.0,72.0,225
101898,WI,4.6,60000,1520.0,103.0,76.0,132
101899,TX,4.1,61000,1440.0,99.0,89.0,286
101900,WA,4.4,78000,1680.0,166.0,134.0,584
101901,FL,5.3,55000,1250.0,124.0,88.0,261
101902,NY,5.1,72000,1670.0,136.0,114.0,737
101903,WA,4.5,78000,1630.0,152.0,118.0,577
101904,TX,4.3,61000,1610.0,103.0,80.0,260
101905,VA,3.2,74000,1850.0,132.0,104.0,631
101906,TX,4.5,61000,1440.0,96.0,80.0,758
101907,FL,4.6,55000,1110.0,113.0,90.0,938
101908,MO,3.7,55000,1250.0,100.0,74.0,865
101909,TN,4.1,53000,1130.0,110.0,84.0,143
101910,MI,5.3,57000,1330.0,94.0,71.0,460
101911,NY,4.8,72000,1970.0,142.0,106.0,358
101912,NJ,5.0,82000,1870.0,138.0,121.0,285
101913,MI,5.9,57000,1350.0,102.0,88.0,692
101914,CA,5.1,75000,1800.0,156.0,124.0,288
101915,CA,5.6,75000,1670.0,164.0,133.0,754
101916,MD,4.3,84000,2120.0,133.0,114.0,809
101917,NY,4.9,72000,1730.0,128.0,102.0,182
101918,WI,4.3,60000,1350.0,104.0,87.0,479
101919,AZ,4.5,58000,1300.0,117.0,93.0,752
101920,FL,4.8,55000,1200.0,122.0,102.0,646
101921,CA,5.5,75000,2090.0,159.0,127.0,530
101922,MD,4.2,84000,2020.0,132.0,115.0,534
101923,CA,5.1,75000,2040.0,153.0,131.0,742
101924,CA,6.0,75000,1980.0,158.0,127.0,213
101925,MI,5.8,57000,1510.0,101.0,86.0,252
101926,TN,4.3,53000,1200.0,114.0,100.0,121
101927,TX,4.0,61000,1410.0,101.0,93.0,696
101928,PA,4.4,61000,1670.0,94.0,88.0,901
101929,FL,4.7,55000,1590.0,108.0,83.0,137
101930,GA,3.9,58000,1510.0,110.0,94.0,962
101931,TX,3.7,61000,1480.0,116.0,90.0,805
101932,IN,4.4,55000,1200.0,93.0,78.0,700
101933,TX,4.3,61000,1490.0,109.0,89.0,169
101934,IN,4.7,55000,1200.0,102.0,85.0,874
101935,MA,4.8,81000,2170.0,145.0,122.0,793
101936,AZ,4.1,58000,1410.0,112.0,98.0,338
101937,NC,4.6,54000,1260.0,118.0,99.0,723
101938,TX,4.0,61000,1250.0,103.0,82.0,908
101939,WI,4.1,60000,1340.0,102.0,84.0,891
101940,MI,5.5,57000,1270.0,96.0,78.0,974
101941,WA,4.9,78000,2150.0,167.0,127.0,860
101942,WI,3.8,60000,1520.0,102.0,98.0,655
101943,CA,5.9,75000,1780.0,164.0,127.0,720
101944,PA,4.0,61000,1330.0,85.0,79.0,103
101945,CA,5.4,75000,1840.0,163.0,129.0,704
101946,NC,4.5,54000,1180.0,109.0,83.0,962
101947,GA,4.4,58000,1240.0,113.0,93.0,494
101948,TN,4.2,53000,1430.0,100.0,82.0,998
101949,MO,4.1,55000,1410.0,92.0,78.0,277
101950,NY,5.2,72000,1640.0,141.0,112.0,652
101951,TX,3.7,61000,1500.0,103.0,80.0,489
101952,FL,4.7,55000,1250.0,120.0,87.0,735
101953,WI,4.5,60000,1280.0,96.0,87.0,240
101954,TX,3.8,61000,1280.0,97.0,69.0,370
101955,OH,4.9,56000,1420.0,90.0,73.0,757
101956,CA,5.5,75000,2010.0,152.0,120.0,741
101957,VA,3.8,74000,1750.0,125.0,108.0,776
101958,IL,5.3,65000,1460.0,112.0,96.0,927
101959,IL,5.4,65000,1610.0,97.0,80.0,195
101960,OH,4.8,56000,1330.0,89.0,72.0,695
101961,MI,4.9,57000,1280.0,95.0,82.0,224
101962,TX,3.9,61000,1440.0,108.0,89.0,473
101963,CA,5.5,75000,2020.0,165.0,125.0,627
101964,CA,6.0,75000,1730.0,157.0,130.0,807
101965,NY,5.3,72000,1880.0,139.0,107.0,452
101966,FL,5.2,55000,1160.0,114.0,86.0,585
101967,CA,5.1,75000,1760.0,162.0,128.0,570
101968,GA,4.4,58000,1290.0,101.0,89.0,584
101969,TX,4.3,61000,1420.0,100.0,94.0,960
101970,PA,4.0,61000,1680.0,99.0,85.0,296
101971,TX,4.8,61000,1470.0,105.0,99.0,845
101972,FL,4.7,55000,1510.0,106.0,84.0,594
101973,IN,4.8,55000,1160.0,97.0,83.0,286
101974,MA,3.9,81000,2080.0,150.0,121.0,859
101975,GA,3.9,58000,1480.0,110.0,87.0,153
101976,NY,4.8,72000,1820.0,145.0,114.0,607
101977,WA,4.9,78000,1820.0,165.0,132.0,209
101978,CA,5.1,75000,1670.0,163.0,126.0,825
101979,FL,5.2,55000,1280.0,108.0,88.0,916
101980,OH,4.3,56000,1370.0,86.0,79.0,228
101981,NC,4.5,54000,1210.0,104.0,76.0,500
101982,OH,4.7,56000,1310.0,93.0,69.0,982
101983,CA,5.4,75000,1690.0,164.0,138.0,902
101984,FL,5.0,55000,1430.0,109.0,88.0,711
101985,FL,4.8,55000,1370.0,120.0,96.0,189
101986,TX,3.9,61000,1520.0,100.0,80.0,921
101987,TX,4.0,61000,1460.0,110.0,83.0,570
101988,TX,4.4,61000,1490.0,108.0,83.0,187
101989,WA,5.2,78000,1660.0,156.0,122.0,668
101990,CA,5.5,75000,1800.0,154.0,117.0,640
101991,OH,4.7,56000,1260.0,95.0,83.0,192
101992,IN,4.6,55000,1180.0,94.0,81.0,415
101993,TX,4.3,61000,1640.0,105.0,93.0,312
101994,WA,5.0,78000,1960.0,159.0,126.0,774
101995,CA,5.1,75000,1680.0,157.0,126.0,771
101996,MD,4.1,84000,2090.0,131.0,104.0,781
101997,GA,4.1,58000,1400.0,104.0,90.0,548
101998,NY,4.9,72000,1750.0,143.0,120.0,975
101999,WA,5.2,78000,1900.0,158.0,130.0,596
102000,WA,5.0,78000,1710.0,154.0,135.0,315
102001,IL,4.9,65000,1470.0,107.0,82.0,321
102002,WA,4.8,78000,1880.0,158.0,129.0,840
102003,CA,5.9,75000,1870.0,157.0,114.0,253
102004,CA,5.0,75000,2530.0,153.0,124.0,463
102005,MI,5.4,57000,1290.0,94.0,84.0,447
102006,GA,3.4,58000,1510.0,120.0,82.0,442
102007,IL,5.2,65000,1690.0,98.0,89.0,709
102008,TX,4.2,61000,1580.0,111.0,90.0,329
102009,WI,3.7,60000,1630.0,100.0,85.0,169
102010,CA,5.6,75000,1830.0,162.0,134.0,845
102011,WA,4.4,78000,1610.0,149.0,128.0,913
102012,WI,4.9,60000,1650.0,94.0,71.0,176
102013,AZ,4.0,58000,1450.0,110.0,92.0,580
102014,CA,5.6,75000,1870.0,172.0,135.0,799
102015,WI,4.1,60000,1580.0,100.0,90.0,385
102016,MA,4.4,81000,2280.0,145.0,126.0,299
102017,PA,4.3,61000,1280.0,89.0,75.0,248
102018,OH,4.9,56000,1440.0,86.0,81.0,739
102019,IN,3.9,55000,1630.0,100.0,87.0,729
102020,WA,4.8,78000,1610.0,149.0,118.0,748
102021,CA,5.5,75000,1720.0,162.0,117.0,182
102022,TN,4.6,53000,1390.0,112.0,92.0,950
102023,MI,6.1,57000,1280.0,92.0,83.0,738
102024,MI,5.8,57000,1410.0,89.0,73.0,858
102025,NY,5.1,72000,1540.0,140.0,115.0,237
102026,NY,4.9,72000,1810.0,135.0,110.0,185
102027,FL,4.6,55000,1200.0,119.0,94.0,806
102028,MA,4.4,81000,1990.0,148.0,119.0,907
102029,FL,4.4,55000,1510.0,107.0,86.0,938
102030,TX,3.9,61000,1480.0,110.0,94.0,490
102031,TX,4.5,61000,1440.0,109.0,83.0,567
102032,IL,5.4,65000,1530.0,102.0,89.0,789
102033,NC,4.2,54000,1470.0,106.0,77.0,151
102034,MD,4.0,84000,2090.0,124.0,108.0,341
102035,TX,3.9,61000,1220.0,105.0,93.0,867
102036,TX,3.7,61000,1600.0,101.0,83.0,482
102037,OH,4.8,56000,1280.0,84.0,74.0,559
102038,IL,5.0,65000,1620.0,89.0,79.0,711
102039,GA,3.6,58000,1220.0,100.0,83.0,846
102040,WA,5.0,78000,1470.0,159.0,132.0,411
102041,NY,5.0,72000,1680.0,137.0,108.0,702
102042,FL,4.8,55000,1120.0,110.0,92.0,121
102043,TX,4.5,61000,1400.0,109.0,86.0,338
102044,NC,4.3,54000,1180.0,115.0,84.0,684
102045,FL,5.3,55000,1230.0,118.0,90.0,948
102046,NY,4.9,72000,1500.0,139.0,96.0,834
102047,OH,4.8,56000,1360.0,92.0,73.0,133
102048,NY,5.2,72000,1510.0,139.0,116.0,678
102049,FL,4.6,55000,1240.0,110.0,92.0,965
102050,CA,4.8,75000,1680.0,164.0,127.0,710
102051,MD,4.2,84000,2130.0,133.0,116.0,289
102052,FL,4.7,55000,1470.0,120.0,95.0,588
102053,WA,5.1,78000,1690.0,153.0,123.0,716
102054,VA,3.7,74000,1570.0,122.0,107.0,741
102055,CA,5.4,75000,1910.0,155.0,126.0,239
102056,CA,5.5,75000,1990.0,159.0,136.0,723
102057,CA,5.3,75000,1490.0,163.0,128.0,475
102058,IN,4.3,55000,1210.0,97.0,79.0,880
102059,FL,4.5,55000,1250.0,122.0,104.0,483
102060,TX,4.7,61000,1560.0,100.0,86.0,227
102061,TX,4.0,61000,1410.0,103.0,85.0,802
102062,TX,4.4,61000,1350.0,105.0,87.0,128
102063,PA,4.4,61000,1370.0,86.0,80.0,567
102064,MI,5.3,57000,1280.0,95.0,74.0,898
102065,IL,5.2,65000,1630.0,104.0,82.0,251
102066,WA,4.6,78000,1930.0,151.0,116.0,500
102067,GA,4.3,58000,1410.0,110.0,88.0,919
102068,MA,4.2,81000,1670.0,148.0,121.0,640
102069,NJ,4.8,82000,1920.0,132.0,111.0,471
102070,GA,4.4,58000,1180.0,106.0,85.0,619
102071,CA,5.4,75000,1870.0,168.0,129.0,388
102072,CA,5.1,75000,1660.0,155.0,119.0,927
102073,NJ,4.5,82000,2300.0,129.0,106.0,998
102074,FL,4.8,55000,1250.0,112.0,94.0,833
102075,CA,5.2,75000,1870.0,165.0,126.0,787
102076,MA,4.5,81000,1730.0,144.0,114.0,720
102077,CA,5.4,75000,1960.0,161.0,131.0,122
102078,TX,4.5,61000,1420.0,98.0,80.0,836
102079,MI,5.5,57000,1270.0,96.0,86.0,427
102080,CA,5.8,75000,1970.0,166.0,127.0,294
102081,CA,5.9,75000,1700.0,158.0,120.0,347
102082,NC,4.2,54000,1250.0,105.0,86.0,853
102083,TN,4.0,53000,1550.0,109.0,82.0,459
102084,GA,4.1,58000,1400.0,113.0,93.0,747
102085,FL,5.0,55000,1230.0,120.0,88.0,233
102086,TX,4.1,61000,1620.0,99.0,82.0,254
102087,MO,3.8,55000,1350.0,98.0,77.0,240
102088,IL,5.1,65000,1550.0,97.0,94.0,345
102089,FL,4.2,55000,1450.0,114.0,79.0,525
102090,OH,4.4,56000,1560.0,90.0,82.0,493
102091,OH,4.6,56000,1190.0,86.0,83.0,985
102092,OH,5.0,56000,1460.0,89.0,78.0,279
102093,IL,4.9,65000,1590.0,107.0,87.0,545
102094,NY,5.1,72000,1720.0,133.0,115.0,391
102095,MA,4.1,81000,1710.0,143.0,117.0,467
102096,CA,5.8,75000,1720.0,150.0,117.0,640
102097,PA,4.4,61000,1520.0,103.0,94.0,838
102098,IL,5.1,65000,1390.0,97.0,73.0,324
102099,NY,5.0,72000,1540.0,136.0,109.0,730
102100,NY,5.1,72000,1630.0,145.0,119.0,535
102101,WI,4.4,60000,1470.0,91.0,79.0,304
102102,MI,5.4,57000,1290.0,87.0,70.0,814
102103,OH,4.6,56000,1470.0,91.0,84.0,961
102104,MD,4.9,84000,2180.0,126.0,110.0,720
102105,TX,4.1,61000,1540.0,104.0,92.0,241
102106,IL,5.1,65000,1520.0,97.0,82.0,908
102107,IL,5.9,65000,1490.0,98.0,81.0,965
102108,IL,5.1,65000,1480.0,97.0,90.0,579
102109,MA,4.1,81000,1750.0,149.0,121.0,808
102110,FL,4.7,55000,1270.0,116.0,94.0,330
102111,TX,3.9,61000,1360.0,108.0,90.0,642
102112,OH,4.7,56000,1340.0,95.0,77.0,459
102113,MI,5.3,57000,1460.0,94.0,75.0,566
102114,NY,5.0,72000,1680.0,135.0,109.0,842
102115,MI,5.1,57000,1440.0,93.0,77.0,335
102116,IL,5.5,65000,1480.0,94.0,89.0,642
102117,MD,4.1,84000,2270.0,135.0,108.0,245
102118,WA,4.8,78000,1880.0,154.0,132.0,637
102119,CA,5.5,75000,1740.0,162.0,136.0,526
102120,MA,4.7,81000,1950.0,141.0,117.0,874
102121,IL,5.6,65000,1570.0,111.0,98.0,815
102122,NY,5.1,72000,1710.0,134.0,117.0,200
102123,CA,5.8,75000,1790.0,158.0,126.0,176
102124,NC,4.4,54000,1280.0,107.0,83.0,897
102125,TX,4.3,61000,1610.0,104.0,87.0,716
102126,IN,3.8,55000,1230.0,95.0,70.0,588
102127,NJ,5.6,82000,1570.0,138.0,123.0,317
102128,NY,4.8,72000,1630.0,134.0,120.0,833
102129,IN,4.2,55000,1350.0,95.0,83.0,351
102130,NY,5.0,72000,1810.0,142.0,119.0,744
102131,PA,4.4,61000,1420.0,88.0,74.0,267
102132,MD,4.5,84000,1850.0,135.0,118.0,410
102133,CA,5.8,75000,1840.0,165.0,127.0,672
102134,IN,4.1,55000,1250.0,86.0,76.0,566
102135,FL,4.9,55000,1220.0,112.0,87.0,447
102136,CA,5.4,75000,1830.0,165.0,127.0,750
102137,CA,6.0,75000,2110.0,162.0,124.0,630
102138,TX,3.9,61000,1490.0,102.0,84.0,201
102139,CA,6.0,75000,1750.0,161.0,125.0,653
102140,PA,4.5,61000,1150.0,90.0,74.0,417
102141,WI,4.4,60000,1280.0,103.0,83.0,970
102142,IL,5.1,65000,1600.0,100.0,75.0,137
102143,AZ,4.6,58000,1210.0,111.0,94.0,364
102144,CA,5.2,75000,1670.0,153.0,121.0,171
102145,TX,4.4,61000,1660.0,103.0,94.0,962
102146,VA,3.9,74000,1770.0,125.0,99.0,354
102147,GA,4.0,58000,1340.0,105.0,83.0,472
102148,TX,3.8,61000,1510.0,100.0,93.0,266
102149,AZ,4.2,58000,1600.0,118.0,100.0,619
102150,NY,4.6,72000,1630.0,137.0,112.0,621
102151,MI,5.5,57000,1130.0,91.0,81.0,683
102152,TN,3.8,53000,1270.0,106.0,89.0,502
102153,PA,4.8,61000,1620.0,95.0,80.0,306
102154,OH,4.6,56000,1390.0,82.0,75.0,628
102155,TX,4.5,61000,1580.0,111.0,93.0,950
102156,IN,4.3,55000,1220.0,94.0,75.0,745
102157,MD,4.3,84000,1810.0,132.0,116.0,135
102158,MI,5.9,57000,1360.0,97.0,78.0,742
102159,CA,6.1,75000,1670.0,156.0,114.0,556
102160,TX,4.1,61000,1560.0,106.0,87.0,434
102161,MD,4.5,84000,2170.0,126.0,111.0,475
102162,NY,5.5,72000,1620.0,143.0,114.0,981
102163,CA,5.4,75000,1600.0,165.0,136.0,864
102164,WA,4.9,78000,1950.0,153.0,123.0,355
102165,WI,4.2,60000,1400.0,113.0,95.0,466
102166,NC,4.2,54000,1400.0,109.0,85.0,695
102167,NJ,5.1,82000,1960.0,136.0,116.0,666
102168,PA,4.6,61000,1620.0,95.0,87.0,472
102169,AZ,4.7,58000,1460.0,111.0,90.0,616
102170,MA,4.4,81000,1930.0,145.0,117.0,227
102171,NJ,5.4,82000,1790.0,133.0,114.0,849
102172,MO,3.6,55000,1350.0,92.0,80.0,428
102173,NY,4.6,72000,1850.0,153.0,122.0,643
102174,TX,4.1,61000,1510.0,106.0,82.0,567
102175,TN,3.8,53000,1380.0,110.0,84.0,792
102176,AZ,4.6,58000,1380.0,113.0,77.0,388
102177,VA,4.5,74000,1880.0,131.0,108.0,660
102178,CA,5.1,75000,1640.0,152.0,118.0,986
102179,NY,4.7,72000,1550.0,133.0,111.0,817
102180,TX,4.2,61000,1710.0,105.0,93.0,489
102181,TN,4.3,53000,1280.0,100.0,92.0,389
102182,NJ,5.3,82000,2310.0,136.0,111.0,453
102183,AZ,4.8,58000,1360.0,120.0,92.0,462
102184,WI,3.6,60000,1440.0,93.0,82.0,997
102185,PA,4.5,61000,1320.0,102.0,83.0,873
102186,NY,4.9,72000,2060.0,144.0,115.0,687
102187,MI,5.2,57000,1400.0,97.0,79.0,689
102188,NY,4.9,72000,1580.0,136.0,91.0,687
102189,NY,5.3,72000,1630.0,132.0,112.0,653
102190,WI,4.1,60000,1360.0,110.0,96.0,871
102191,MA,4.5,81000,2340.0,152.0,130.0,925
102192,OH,4.1,56000,1290.0,87.0,69.0,960
102193,CA,5.0,75000,1770.0,161.0,125.0,124
102194,NY,5.0,72000,1770.0,145.0,113.0,973
102195,TX,3.8,61000,1390.0,110.0,96.0,864
102196,WA,4.7,78000,2070.0,159.0,126.0,163
102197,FL,4.4,55000,1450.0,115.0,88.0,862
102198,IL,5.4,65000,1520.0,110.0,98.0,141
102199,MI,5.5,57000,1410.0,93.0,75.0,886
102200,CA,6.2,75000,2030.0,163.0,126.0,379
102201,PA,4.2,61000,1280.0,91.0,80.0,258
102202,PA,4.6,61000,1270.0,94.0,70.0,520
102203,FL,4.6,55000,1240.0,109.0,87.0,426
102204,IL,5.9,65000,1420.0,93.0,79.0,439
102205,FL,4.6,55000,1570.0,115.0,97.0,198
102206,MA,3.9,81000,1770.0,135.0,117.0,716
102207,TX,4.6,61000,1490.0,103.0,89.0,489
102208,NY,4.9,72000,1670.0,141.0,123.0,423
102209,CA,5.8,75000,1860.0,158.0,121.0,509
102210,FL,4.6,55000,1470.0,118.0,90.0,397
102211,TX,4.2,61000,1530.0,107.0,94.0,312
102212,NC,3.7,54000,1340.0,106.0,92.0,785
102213,TX,4.0,61000,1470.0,98.0,89.0,364
102214,NY,4.8,72000,1730.0,141.0,109.0,649
102215,CA,5.1,75000,1870.0,162.0,119.0,556
102216,MI,5.3,57000,1210.0,98.0,80.0,826
102217,WA,4.6,78000,1860.0,154.0,129.0,274
102218,CA,5.3,75000,2070.0,161.0,123.0,726
102219,MA,4.0,81000,1860.0,148.0,113.0,590
102220,IL,5.3,65000,1330.0,99.0,84.0,924
102221,FL,4.9,55000,1260.0,108.0,85.0,718
102222,NC,4.4,54000,1260.0,113.0,88.0,151
102223,TX,4.0,61000,1430.0,105.0,86.0,316
102224,FL,5.1,55000,1270.0,117.0,86.0,400
102225,NC,4.4,54000,1410.0,115.0,92.0,709
102226,WA,4.9,78000,1970.0,153.0,121.0,795
102227,VA,4.0,74000,1810.0,123.0,106.0,954
102228,CA,5.7,75000,1480.0,167.0,138.0,138
102229,CA,5.6,75000,1750.0,162.0,130.0,511
102230,CA,5.5,75000,1740.0,162.0,130.0,292
102231,OH,4.6,56000,1270.0,95.0,75.0,452
102232,IN,4.2,55000,1410.0,89.0,73.0,580
102233,NC,4.2,54000,1400.0,112.0,87.0,547
102234,NY,4.9,72000,1620.0,151.0,110.0,955
102235,TX,4.3,61000,1680.0,103.0,87.0,272
102236,WI,4.1,60000,1610.0,105.0,90.0,205
102237,CA,5.6,75000,1770.0,156.0,123.0,625
102238,NY,4.7,72000,1660.0,147.0,114.0,233
102239,MI,6.2,57000,1320.0,92.0,80.0,629
102240,GA,3.9,58000,1390.0,109.0,86.0,339
102241,NY,4.7,72000,1610.0,142.0,118.0,854
102242,TX,4.1,61000,1370.0,107.0,87.0,976
102243,NY,4.7,72000,1680.0,145.0,110.0,125
102244,PA,4.3,61000,1550.0,92.0,83.0,107
102245,IN,4.0,55000,1370.0,112.0,88.0,375
102246,CA,5.5,75000,1820.0,160.0,129.0,504
102247,OH,4.8,56000,1540.0,90.0,80.0,939
102248,CA,5.2,75000,2020.0,165.0,130.0,807
102249,CA,5.7,75000,1750.0,158.0,121.0,538
102250,TN,4.0,53000,1170.0,104.0,88.0,721
102251,OH,4.4,56000,1360.0,95.0,85.0,913
102252,AZ,5.0,58000,1270.0,117.0,81.0,819
102253,TX,3.8,61000,1610.0,101.0,88.0,541
102254,GA,3.8,58000,1330.0,110.0,79.0,444
102255,TN,4.9,53000,1210.0,105.0,90.0,702
102256,AZ,4.4,58000,1410.0,105.0,87.0,172
102257,FL,4.3,55000,1440.0,107.0,90.0,699
102258,IL,5.2,65000,1610.0,101.0,81.0,956
102259,CA,5.3,75000,1830.0,162.0,121.0,923
102260,VA,4.1,74000,1910.0,128.0,99.0,582
102261,CA,5.6,75000,1890.0,156.0,126.0,190
102262,TX,3.8,61000,1470.0,112.0,94.0,141
102263,CA,5.9,75000,1630.0,166.0,128.0,584
102264,FL,4.7,55000,1260.0,116.0,98.0,712
102265,CA,5.9,75000,1730.0,164.0,127.0,745
102266,WA,5.1,78000,2020.0,161.0,122.0,204
102267,IL,5.8,65000,1740.0,97.0,84.0,124
102268,TX,3.9,61000,1410.0,99.0,75.0,375
102269,GA,4.3,58000,1360.0,108.0,94.0,643
102270,FL,4.6,55000,1300.0,118.0,90.0,725
102271,OH,4.4,56000,1350.0,96.0,82.0,128
102272,PA,3.9,61000,1560.0,102.0,84.0,149
102273,CA,5.1,75000,1680.0,154.0,126.0,448
102274,TX,4.2,61000,1460.0,101.0,87.0,877
102275,GA,3.9,58000,1320.0,100.0,92.0,219
102276,NY,4.7,72000,1810.0,145.0,119.0,499
102277,MI,5.4,57000,1550.0,90.0,82.0,109
102278,FL,5.0,55000,1140.0,110.0,84.0,708
102279,CA,5.6,75000,1580.0,163.0,136.0,863
102280,WI,3.9,60000,1820.0,101.0,91.0,155
102281,GA,4.1,58000,1280.0,104.0,89.0,601
102282,TX,4.1,61000,1400.0,108.0,96.0,135
102283,IL,5.7,65000,1800.0,90.0,79.0,654
102284,PA,4.2,61000,1660.0,91.0,83.0,976
102285,PA,4.9,61000,1380.0,93.0,79.0,968
102286,WI,4.5,60000,1530.0,101.0,78.0,521
102287,PA,4.2,61000,1530.0,96.0,86.0,974
102288,NC,4.3,54000,1320.0,112.0,89.0,186
102289,NY,5.0,72000,1830.0,145.0,121.0,842
102290,TX,4.6,61000,1770.0,101.0,80.0,176
102291,NC,4.1,54000,1440.0,108.0,94.0,460
102292,CA,5.8,75000,1760.0,155.0,112.0,796
102293,CA,5.9,75000,1770.0,156.0,122.0,957
102294,IN,4.5,55000,1200.0,110.0,97.0,487
102295,OH,4.5,56000,1410.0,85.0,76.0,641
102296,TX,3.9,61000,1540.0,99.0,85.0,348
102297,CA,5.4,75000,2000.0,155.0,125.0,716
102298,TX,3.9,61000,1600.0,98.0,85.0,142
102299,MO,4.2,55000,1210.0,92.0,70.0,795
102300,IN,4.4,55000,1490.0,92.0,84.0,140
102301,MO,4.1,55000,1330.0,100.0,76.0,657
102302,OH,4.8,56000,1380.0,87.0,74.0,197
102303,FL,4.8,55000,1210.0,117.0,98.0,131
102304,FL,5.1,55000,1270.0,119.0,92.0,175
102305,FL,5.2,55000,1290.0,112.0,86.0,574
102306,WA,4.8,78000,2050.0,156.0,124.0,823
102307,VA,3.7,74000,2110.0,125.0,104.0,367
102308,VA,3.2,74000,1550.0,127.0,108.0,388
102309,TX,3.9,61000,1370.0,104.0,86.0,765
102310,FL,5.1,55000,1220.0,115.0,89.0,927
102311,MD,4.2,84000,1700.0,131.0,108.0,865
102312,OH,4.7,56000,1390.0,101.0,79.0,509
102313,NJ,5.4,82000,2110.0,136.0,114.0,722
102314,MD,4.6,84000,2090.0,136.0,117.0,725
102315,PA,4.4,61000,1560.0,97.0,76.0,791
102316,NY,4.8,72000,1710.0,145.0,112.0,944
102317,TN,4.3,53000,1130.0,102.0,76.0,316
102318,IL,5.3,65000,1460.0,93.0,77.0,786
102319,NY,4.8,72000,1740.0,138.0,110.0,250
102320,WI,3.6,60000,1340.0,98.0,84.0,655
102321,OH,4.8,56000,1310.0,90.0,72.0,406
102322,PA,4.0,61000,1410.0,101.0,75.0,801
102323,NC,4.3,54000,1220.0,110.0,95.0,851
102324,TN,4.0,53000,1410.0,113.0,93.0,741
102325,NC,4.2,54000,1140.0,109.0,95.0,595
102326,NJ,5.2,82000,1950.0,131.0,121.0,214
102327,OH,4.3,56000,1290.0,95.0,78.0,475
102328,IN,4.4,55000,1320.0,94.0,77.0,239
102329,IL,5.2,65000,1620.0,99.0,87.0,541
102330,NY,5.1,72000,1660.0,132.0,109.0,441
102331,CA,5.6,75000,1790.0,159.0,127.0,713
102332,OH,4.9,56000,1510.0,97.0,79.0,780
102333,NY,5.2,72000,1810.0,146.0,108.0,544
102334,MA,4.5,81000,2040.0,139.0,121.0,690
102335,PA,4.3,61000,1450.0,98.0,90.0,565
102336,NC,4.7,54000,1290.0,102.0,78.0,613
102337,NJ,5.2,82000,1890.0,137.0,109.0,347
102338,GA,4.2,58000,1340.0,102.0,81.0,227
102339,CA,5.0,75000,1700.0,159.0,126.0,339
102340,NJ,5.5,82000,2220.0,130.0,105.0,123
102341,GA,3.7,58000,1570.0,107.0,87.0,949
102342,NY,5.1,72000,1670.0,131.0,107.0,314
102343,TX,4.2,61000,1370.0,97.0,84.0,396
